브랜드,시군구별,도로명주소,사업장명,위도,경도
이디야,성동구,"서울특별시 성동구 아차산로15길 19, 1층 (성수동2가, 277-28 우리W타워)",이디야 성수우리W타워,37.54477343405457,127.05930610433262
이디야,성동구,"서울특별시 성동구 성수일로6길 47, 현성빌딩 1층 103호 (성수동2가)",이디야 성수중앙점,37.54427494242757,127.05243204828284
이디야,광진구,"서울특별시 광진구 능동로 21, 1층 (자양동)",이디야뚝섬유원지역점,37.53350226811692,127.06439333192348
이디야,광진구,"서울특별시 광진구 군자로 109, 1층 (군자동)",이디야커피(세종대후문점),37.55287218816136,127.06910115142082
이디야,광진구,"서울특별시 광진구 능동로 330, 1층 (중곡동, 우진빌딩)",이디야,37.55897345574746,127.07783185877494
이디야,광진구,"서울특별시 광진구 강변역로4길 34, 109호 (구의동, 강변현대하이엘)",이디야커피동서울터미널점,37.53415139313595,127.08932581987754
이디야,광진구,"서울특별시 광진구 자양로 46, 101호 (자양동)",이디야커피 자양동점,37.53223850571454,127.08308919669265
이디야,광진구,서울특별시 광진구 광나루로 416 (화양동),이디야,37.54649547263599,127.07269731003858
이디야,광진구,서울특별시 광진구 자양로 136 (구의동),이디야(광진구청점),37.53978478730919,127.08053419632743
이디야,광진구,"서울특별시 광진구 아차산로 272, 5호 (자양동, 스타시티몰)",이디야커피(건대스타시티점),37.53780313522157,127.06974203232828
이디야,광진구,"서울특별시 광진구 아차산로 229, 1층 101,110호 (화양동)",이디야건대역점,37.54081600081405,127.06614129985101
이디야,광진구,"서울특별시 광진구 능동로 92, 롯데백화점 지하2층 201호 (자양동)",이디야(건대스타시티2호점),37.53878862201067,127.06824670575458
이디야,광진구,"서울특별시 광진구 아차산로 624, 1층 (광장동)",이디야커피광나루점,37.54820371064077,127.10467579600822
이디야,광진구,"서울특별시 광진구 용마산로 37, 이안빌딩 1층 (중곡동)",이디야중곡신성점,37.55702187309939,127.08484384149124
이디야,광진구,"서울특별시 광진구 용마산로 111, 1층 (중곡동)",이디야중곡대원점,37.563593904604126,127.08378272278533
이디야,광진구,"서울특별시 광진구 구의로 4, 1층 (구의동)",이디야커피,37.53820948316802,127.08640463877452
이디야,동대문구,"서울특별시 동대문구 한천로 55, 영진빌딩 1층 (답십리동)",이디야답십리파크자이점,37.56685736075204,127.05894597446833
이디야,동대문구,"서울특별시 동대문구 답십리로 264, 1층 (장안동)",이디야커피(촬영소사거리점),37.572260264153535,127.06657988363813
이디야,동대문구,"서울특별시 동대문구 답십리로 145, 1,2층 (답십리동)",이디야 답십리사거리점,37.57308872020319,127.05321524354726
이디야,동대문구,"서울특별시 동대문구 장한로18길 32, 1층 (장안동)",이디야커피 장안중랑천점,37.56752292184991,127.06787380039923
이디야,동대문구,"서울특별시 동대문구 한천로2길 53, 1층 (장안동)",이디야 장한평 군자초교점,37.56286259838734,127.05852164396471
이디야,동대문구,"서울특별시 동대문구 신이문로 19, 1층 (이문동)",이디야이문점,37.60312789590582,127.06133473815039
이디야,동대문구,"서울특별시 동대문구 천호대로 153-1, 1층 (용두동)",이디야커피 동대문구청점,37.57362920593865,127.0377595149368
이디야,동대문구,"서울특별시 동대문구 답십리로63길 131, 1층 (장안동)",이디야커피(배봉초교사거리점),37.578496263123625,127.06643225254896
이디야,동대문구,"서울특별시 동대문구 경희대로 4, 2층 (회기동)",이디야경희대점,37.59189405977162,127.0496362079343
이디야,동대문구,"서울특별시 동대문구 무학로 104, 1층 (용두동)",이디야 동부병원사거리점,37.573512961420505,127.02802010432507
이디야,동대문구,"서울특별시 동대문구 사가정로25길 42, 1층 (장안동)",이디야커피 장안중앙점,37.580698746547085,127.06806955908523
이디야,동대문구,서울특별시 동대문구 왕산로 68 (용두동),이디야커피,37.57767106220107,127.02815290134669
이디야,동대문구,"서울특별시 동대문구 장한로 43 (장안동,지상1층)",이디야커피점,37.565097374632884,127.06378964453437
이디야,동대문구,"서울특별시 동대문구 회기로 193, 1층 (휘경동)",이디야커피(회기중앙점),37.59020413415419,127.05457067860242
이디야,동대문구,"서울특별시 동대문구 사가정로 132, 1층 (전농동, (39-9))",이디야커피(전농사거리점),37.577602482618246,127.05661851688423
이디야,동대문구,"서울특별시 동대문구 답십리로 309, 1층 (장안동)",이디야(장안동사거리점),37.572387421051275,127.07196507681036
이디야,동대문구,"서울특별시 동대문구 왕산로 225 (청량리동,1층 10호)",이디야커피,37.582119172204486,127.04419968141745
이디야,동대문구,"서울특별시 동대문구 천호대로 11-3 (신설동,남선빌딩 1층 (하정로 13))",이디야커피,37.57510519059438,127.02208269306495
이디야,동대문구,"서울특별시 동대문구 망우로 67 (휘경동,효자워너빌 103호)",이디야회기역점,37.58994452090894,127.05802649298904
이디야,강서구,"서울특별시 강서구 양천로 28, 벽산에어트리움 본관동 1층 101~103호 (방화동)",이디야 개화산점,37.5723564396851,126.80406180040816
이디야,중랑구,"서울특별시 중랑구 망우로 277, 1층 (상봉동)",이디야,37.596060915237146,127.08052708189022
이디야,중랑구,"서울특별시 중랑구 신내로7가길 7, 제이리옴 1층 101호 (신내동)",이디야커피 서울중화초등학교점,37.60234798472291,127.09256831266632
이디야,중랑구,"서울특별시 중랑구 봉화산로 215, 1층 (신내동)",이디야커피 신내동점,37.60767115364538,127.09367507014116
이디야,중랑구,"서울특별시 중랑구 면목로 325, 1층 (면목동)",이디야(사가정점),37.58114504412818,127.08527773149488
이디야,중랑구,"서울특별시 중랑구 망우로 416, 1층 (망우동)",이디야망우동점,37.59911983218686,127.09547124750797
이디야,중랑구,"서울특별시 중랑구 신내로 211, 114호 (신내동, 금강리빙스텔)",이디야커피,37.61632565422612,127.08978738998795
이디야,중랑구,"서울특별시 중랑구 동일로 683, 1층 (면목동)",이디야 중랑교차로점,37.591448240959636,127.07699193201292
이디야,중랑구,"서울특별시 중랑구 망우로 353 (상봉동, 이노시티AB-124호)",이디야 커피점,37.598101159418746,127.08762368002775
이디야,중랑구,"서울특별시 중랑구 동일로 지하 901, 지2층 (묵동)",이디야커피,37.61086378133992,127.07482772239173
이디야,중랑구,"서울특별시 중랑구 망우로 316, 1층 103호 (상봉동)",이디야 상봉중앙점,37.59648512893866,127.08464524787378
