브랜드,시군구별,도로명주소,사업장명,위도,경도
메가커피,용산구,"서울특별시 용산구 청파로47길 41, 1층 (청파동3가)",메가엠지씨커피 숙명여대점,37.54454489234982,126.96515208170581
메가커피,서초구,"서울특별시 서초구 반포대로 38, 와라빌딩 1층 (서초동)",메가엠지씨커피 서초3동점,37.483909707417666,127.00902887466492
메가커피,서초구,"서울특별시 서초구 바우뫼로7길 8, 116호, 117호 (우면동)",메가엠지씨커피 서초우면중앙점,37.47084932148351,127.02248616641127
메가커피,성북구,"서울특별시 성북구 한천로78길 71, 선우빌딩 1층 (석관동)",메가엠지씨커피 석계중앙점,37.61354453171808,127.06203983645884
메가커피,용산구,"서울특별시 용산구 이태원로 195, 1층 (이태원동)",메가엠지씨커피 이태원점,37.5348251456402,126.9927786536303
메가커피,구로구,"서울특별시 구로구 디지털로 306, 대륭포스트타워2차 1층 107호 (구로동)",메가MGC커피 구로대륭포스트2차점,37.48590349848517,126.89438803802248
메가커피,성북구,"서울특별시 성북구 삼선교로16길 1, 1층 (삼선동3가)",메가엠지씨커피 성북세무서점,37.58830657810314,127.00767836645737
메가커피,강동구,"서울특별시 강동구 고덕비즈밸리로 26, 강동U1센터 1층 A-128호 (고덕동)",메가엠지씨커피 강동U1센터점,37.56554848127123,127.15721112955902
메가커피,중랑구,"서울특별시 중랑구 망우로 467, 1층 106호 (망우동)",메가엠지씨커피 망우금란점,37.60074953456514,127.10110390571437
메가커피,강서구,"서울특별시 강서구 양천로 698, 한영빌딩 1층 우측호 (염창동)",메가엠지씨커피 염창동점,37.549919029219,126.87037383821755
메가커피,종로구,"서울특별시 종로구 돈화문로 27, 1층 (묘동)",메가엠지씨커피 종로3가역점,37.571000088454106,126.98899879676426
메가커피,영등포구,"서울특별시 영등포구 도림로 144, 88월드타워 1층 103호 (대림동)",메가엠지씨커피 대림역점,37.493333982961104,126.89521165671361
메가커피,서초구,"서울특별시 서초구 서초대로77길 59, 강남역 2차 I'PARK 1층 (서초동)",메가엠지씨커피 강남애비뉴점,37.50230072708664,127.02110219142888
메가커피,중구,"서울특별시 중구 마장로1길 28-25, 1층 12호 (신당동)",메가엠지씨커피 동대문동평화점,37.569318789871694,127.01046243163705
메가커피,송파구,"서울특별시 송파구 양재대로 1222, 올림픽프라자 1층 86호 (방이동)",메가엠지씨커피 올림픽공원역점,37.515826038692644,127.12932800768446
메가커피,관악구,"서울특별시 관악구 관악로 1, 서울대학교 60-1동 B1층 (신림동)",메가엠지씨커피 서울대잔디광장점,37.45335858653242,126.95427232542772
메가커피,성동구,"서울특별시 성동구 마조로1길 42, 1층 (행당동)",메가커피(왕십리점),37.56112055697466,127.03651868872248
메가커피,광진구,"서울특별시 광진구 능동로 338-1, 영빌딩 1층 (중곡동)",메가엠지씨커피 중곡중앙점,37.559675779451794,127.07827634276414
메가커피,광진구,"서울특별시 광진구 자양로15길 18, 혜성빌딩 1층 (자양동)",메가엠지씨커피 자양시장점,37.53587732181427,127.07976420182459
메가커피,영등포구,"서울특별시 영등포구 국제금융로8길 19, 중앙빌딩 1층 101호 (여의도동)",메가엠지씨커피 여의중앙점,37.52080607831989,126.92639166466934
메가커피,성북구,"서울특별시 성북구 오패산로 46, 주상가동 1층 106호 (하월곡동, 월곡두산위브아파트)",메가엠지씨커피월곡두산점,37.6070330464204,127.03547544673835
메가커피,강북구,"서울특별시 강북구 도봉로 379, 1층 (수유동)",메가엠지씨 커피 수유점,37.64103120709199,127.02555714393574
메가커피,도봉구,"서울특별시 도봉구 해등로16길 32, 1층 (창동)",메가엠지씨커피창동어울림점,37.655447041717046,127.03885309735381
메가커피,노원구,"서울특별시 노원구 노원로1길 9, 103호 (공릉동, 해중빌딩)",메가엠지씨커피 화랑대역점,37.62219247485912,127.08350291387498
메가커피,노원구,"서울특별시 노원구 동일로 1541, 11단지종합상가 1층 103,104호 (상계동)",메가엠지씨커피 마들역점,37.66585558750895,127.05413672741957
메가커피,강서구,"서울특별시 강서구 곰달래로 185, 1층 (화곡동)",메가엠지씨커피 화곡곰달래점,37.53124780615204,126.85069167155365
메가커피,영등포구,"서울특별시 영등포구 신길로 41, 썬프라자별관 1층 (대림동)",메가엠지씨커피 대림썬프라자점,37.4964574033344,126.9051784442376
메가커피,마포구,"서울특별시 마포구 홍익로6길 48 (동교동, 1층일부)",메가엠지씨커피 홍대입구역점,37.556201314004326,126.92135201425246
메가커피,양천구,"서울특별시 양천구 신정로11길 62, 유광빌딩 1층 101~102호 (신정동)",메가엠지씨커피 신정푸른마을점,37.51196805192786,126.83471663719789
메가커피,용산구,"서울특별시 용산구 후암로 42-2, 1층 (후암동)",메가엠지씨커피 용산후암점,37.549801860058444,126.97470439343277
메가커피,노원구,"서울특별시 노원구 중계로12길 39, 1층 (중계동, 이연아마빌레)",메가엠지씨커피 이마트에브리데이 중계동점,37.646587002867605,127.07975349922388
메가커피,강서구,"서울특별시 강서구 수명로 68-35, 웨스트엔드중정 1층 105호, 105-1호,105-2호 (내발산동)",메가엠지씨커피 마곡수명산점,37.55299156448729,126.82388078710764
메가커피,강남구,"서울특별시 강남구 자곡로 202, 강남힐스테이트에코 지상1층 101호 (자곡동)",메가엠지씨커피 강남자곡점,37.474735823666045,127.10192750369609
메가커피,강동구,"서울특별시 강동구 아리수로93나길 38, 아이메디컬 1층 101,102호 (강일동)",메가엠지씨커피 강일2지구,37.57187141906314,127.17113389520857
메가커피,강동구,"서울특별시 강동구 양재대로 1566, 죽애빌딩 1층 (명일동)",메가엠지씨커피 굽은다리역점,37.54520591734414,127.14034150475032
메가커피,강동구,"서울특별시 강동구 아리수로50길 50, 상가동 1층 107호 (고덕동, 래미안힐스테이트고덕)",메가엠지씨 커피 고덕래미안점,37.55894942369064,127.14419246197698
메가커피,강동구,"서울특별시 강동구 양재대로 1355, 오스카빌딩 1층 5호 (성내동)",메가엠지씨커피 둔촌동역점,37.527397754863365,127.13266193640479
메가커피,강동구,"서울특별시 강동구 양재대로 1641, 1층 4호 (명일동)",메가엠지씨커피 명일역점,37.55208281429569,127.14096480625163
메가커피,송파구,"서울특별시 송파구 마천로 84, 1층 101호 (오금동)",메가엠지씨커피 방이오금점,37.50703734532109,127.12644332412924
메가커피,강동구,"서울특별시 강동구 성안로 9, 한국방재협회 1층 103호 (성내동)",메가엠지씨커피 올림픽공원북문점,37.52488217152534,127.12610570460177
메가커피,영등포구,"서울특별시 영등포구 의사당대로 38, 여의도더샵아일랜드파크 102동 116호 (여의도동)",메가엠지씨커피 여의도KBS점,37.52570464160362,126.91585165210009
메가커피,중랑구,"서울특별시 중랑구 신내로 225, 디아뜨갤러리 1층 146,147호 (신내동)",메가엠지씨커피 봉화산역점,37.6169573971491,127.08840200659814
메가커피,강남구,"서울특별시 강남구 테헤란로25길 15, 지상1층 (역삼동)",메가엠지씨커피 역삼역점,37.50160575667073,127.03230574373593
메가커피,강동구,"서울특별시 강동구 천호대로 1200, 1층 104호 (둔촌동)",메가엠지씨커피 둔촌고사거리점,37.53448205066562,127.14175317255373
메가커피,강동구,서울특별시 강동구 올림픽로 715 (주)아이앤유앤아이빌딩 1층 101호 (천호동),메가엠지씨커피 천호공원점,37.545281519768274,127.12264163127603
메가커피,강동구,"서울특별시 강동구 양재대로 1465, 마루홈타운 1층 105호 (길동)",메가엠지씨커피 길동역점,37.53685687913373,127.13640489065911
메가커피,강동구,"서울특별시 강동구 천호대로 997, 신라빌딩 1층 107호 (천호동)",메가엠지씨커피 천호역점,37.53935541643694,127.12038295169936
메가커피,강동구,"서울특별시 강동구 올림픽로 783, 102호 (암사동)",메가커피,37.55114607324291,127.1247109779255
메가커피,강동구,"서울특별시 강동구 천호대로 1107, 1층 101-1호 (길동, 강동역에스케이허브)",메가엠지씨커피 강동역점,37.53554884873917,127.13203229921264
메가커피,마포구,"서울특별시 마포구 만리재옛길 6, 1층 (신공덕동)",메가엠지씨커피 서울공덕초교점,37.54484270171884,126.95153669057675
메가커피,중랑구,"서울특별시 중랑구 동일로 887, 삼삼메디컬빌딩 1층 104호 (묵동)",메가엠지씨커피 먹골중앙점,37.60958778645665,127.07473080086895
메가커피,광진구,"서울특별시 광진구 영화사로 1, 1층 (중곡동)",메가엠지씨커피 중곡사거리점,37.55870781199983,127.08532286834587
메가커피,광진구,"서울특별시 광진구 아차산로 537-17, 1층 10호 (광장동, 광장힐스테이트)",메가엠지씨커피광장점,37.54317960909893,127.09667204749385
메가커피,강동구,"서울특별시 강동구 천호대로 1078, 1층 105호 (성내동, 씨제이나인파크)",메가엠지씨커피 강동성내점,37.53582198161284,127.12837839221288
메가커피,강북구,"서울특별시 강북구 삼양로 308, 진주빌딩 1층 (수유동)",메가엠지씨커피 수유중앙점,37.63085562753405,127.01514146695368
메가커피,마포구,"서울특별시 마포구 대흥로20길 28, 마포아트센터 1층 일부호 (대흥동)",메가엠지씨커피 마포아트센터점,37.54998451314405,126.94266955860333
메가커피,마포구,"서울특별시 마포구 동교로9길 49, 1층 (망원동)",메가MGC커피 망원역점,37.55583599138148,126.90634678437264
메가커피,강서구,"서울특별시 강서구 까치산로4길 3, 1층 (화곡동, 본동)",메가엠지씨커피 화곡본동시장점,37.542479510078024,126.84125567457677
메가커피,중구,"서울특별시 중구 명동7길 21, 1층 103호 (을지로2가)",메가엠지씨커피 명동아르누보센텀점,37.5647103572842,126.98097810987493
메가커피,마포구,"서울특별시 마포구 모래내로1길 9, 1층 102호 (성산동)",메가엠지씨커피 마포구청점,37.56463853881387,126.90066656515778
메가커피,송파구,"서울특별시 송파구 오금로 306, 1층 113호 (가락동, 가락스타클래스)",메가엠지씨커피 오금역점,37.502876538967456,127.12323049879372
메가커피,강남구,"서울특별시 강남구 강남대로78길 12, 예미프레스티지 지상1층 103호 (역삼동)",메가엠지씨커피 강남로데오점,37.49486227897523,127.02746767454799
메가커피,중랑구,"서울특별시 중랑구 용마산로 337, 1층 (면목동)",메가엠지씨커피 면목동점,37.581987674833506,127.09031771303664
메가커피,성북구,"서울특별시 성북구 아리랑로19가길 4, 1층 102호 (정릉동)",메가엠지씨커피 정릉역점,37.602420672500955,127.00845159141419
메가커피,강동구,"서울특별시 강동구 상암로 54, 브라운스톤암사아파트 상가동 1층 6호 (천호동)",메가엠지씨커피 암사브라운스톤점,37.548719549645995,127.12616050207914
메가커피,광진구,"서울특별시 광진구 자양로 49, 1층 (자양동)",메가엠지씨커피 잠실대교북단점,37.53218055696473,127.0822901750018
메가커피,강동구,"서울특별시 강동구 아리수로93길 9, 골드프라자 102호 (강일동)",메가엠지씨커피 강일리버파크점,37.56546161072592,127.17160158555045
메가커피,강북구,"서울특별시 강북구 숭인로 39, 111호 (미아동, 송천센트레빌)",메가엠지씨커피 미아영훈초점,37.61275237067344,127.0229243458184
메가커피,마포구,"서울특별시 마포구 성미산로 43, 지1층 일부 (성산동)",메가엠지씨커피 마포성산점,37.55916515037301,126.90993051822798
메가커피,은평구,"서울특별시 은평구 진관3로 67, 914동 1층 107호 (진관동, 은평뉴타운 구파발)",메가엠지씨커피 서울은빛초점,37.64147444991359,126.91920880605679
메가커피,강서구,"서울특별시 강서구 방화동로 102, 1층 (방화동)",메가엠지씨커피 방화중앙점,37.569453354362636,126.81014580073094
메가커피,동작구,"서울특별시 동작구 사당로 243, 1층 (사당동)",메가엠지씨커피 동작남성점,37.483496413958214,126.9719350239358
메가커피,구로구,"서울특별시 구로구 경인로20가길 5, 하늘쉼빌딩 1층 101호 (오류동)",메가엠지씨커피 오류동역점,37.4954596465928,126.84122235759533
